season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,commissioners_cup_final
1997,1997-06-20,0,0,post,Las Vegas Aces,Sacramento Monarchs,LVA,SAC,1500.0,1500.0,0.613136820153143,0.386863179846857,60,70,1480.96587144116,1519.03412855884,0
1997,1997-06-20,0,0,post,Los Angeles Sparks,New York Liberty,LAS,NYL,1500.0,1500.0,0.613136820153143,0.386863179846857,57,67,1480.96587144116,1519.03412855884,0
1997,1997-06-20,0,0,post,Cleveland Rockers,Houston Comets,CLE,HOU,1500.0,1500.0,0.613136820153143,0.386863179846857,56,76,1469.95580409007,1530.04419590993,0
1997,1997-06-21,0,0,post,Phoenix Mercury,Charlotte Sting,PHO,CHA,1500.0,1500.0,0.613136820153143,0.386863179846857,76,59,1514.91202193115,1485.08797806885,0
1997,1997-06-22,0,0,post,Sacramento Monarchs,New York Liberty,SAC,NYL,1519.03412855884,1519.03412855884,0.613136820153143,0.386863179846857,62,73,1498.83741319331,1539.23084392437,0
1997,1997-06-22,0,0,post,Las Vegas Aces,Los Angeles Sparks,LVA,LAS,1480.96587144116,1480.96587144116,0.613136820153143,0.386863179846857,102,89,1493.43995139341,1468.49179148891,0
1997,1997-06-23,0,0,post,Houston Comets,Phoenix Mercury,HOU,PHO,1530.04419590993,1514.91202193115,0.633584354380805,0.366415645619195,72,55,1544.0091600951,1500.94705774597,0
1997,1997-06-24,0,0,post,Los Angeles Sparks,Charlotte Sting,LAS,CHA,1468.49179148891,1485.08797806885,0.590245823330027,0.409754176669973,74,54,1486.37783018226,1467.20193937551,0
1997,1997-06-25,0,0,post,Sacramento Monarchs,Charlotte Sting,SAC,CHA,1498.83741319331,1467.20193937551,0.655346704584377,0.344653295415623,78,70,1506.88086579901,1459.1584867698,0
1997,1997-06-25,0,0,post,Houston Comets,New York Liberty,HOU,NYL,1544.0091600951,1539.23084392437,0.619640642478858,0.380359357521142,60,62,1535.01596278102,1548.22404123845,0
1997,1997-06-25,0,0,post,Cleveland Rockers,Las Vegas Aces,CLE,LVA,1469.95580409007,1493.43995139341,0.580623002815069,0.419376997184931,74,63,1482.3266424289,1481.06911305459,0
1997,1997-06-26,0,0,post,Los Angeles Sparks,Sacramento Monarchs,LAS,SAC,1486.37783018226,1506.88086579901,0.584795746365373,0.415204253634627,102,92,1497.89428374833,1495.36441223294,0
1997,1997-06-27,0,0,post,Cleveland Rockers,Phoenix Mercury,CLE,PHO,1482.3266424289,1500.94705774597,0.587424690000723,0.412575309999277,63,68,1470.15391824512,1513.11978192975,0
1997,1997-06-27,0,0,post,Las Vegas Aces,Houston Comets,LVA,HOU,1481.06911305459,1535.01596278102,0.537423378932637,0.462576621067363,58,76,1457.66262733555,1558.42244850006,0
1997,1997-06-28,0,0,post,New York Liberty,Phoenix Mercury,NYL,PHO,1548.22404123845,1513.11978192975,0.659842714243723,0.340157285756277,65,57,1556.14239471505,1505.20142845315,0
1997,1997-06-28,0,0,post,Charlotte Sting,Cleveland Rockers,CHA,CLE,1459.1584867698,1470.15391824512,0.598020087746413,0.401979912253587,67,44,1478.43122890189,1450.88117611304,0
1997,1997-06-29,0,0,post,Houston Comets,Los Angeles Sparks,HOU,LAS,1558.42244850006,1497.89428374833,0.691884675183878,0.308115324816122,71,66,1563.88018143313,1492.43655081525,0
1997,1997-07-01,0,0,post,Sacramento Monarchs,Las Vegas Aces,SAC,LVA,1495.36441223294,1457.66262733555,0.663190756360138,0.336809243639862,68,73,1480.93806397032,1472.08897559817,0
1997,1997-07-01,0,0,post,New York Liberty,Houston Comets,NYL,HOU,1556.14239471505,1563.88018143313,0.602519639868056,0.397480360131944,72,67,1563.54657283771,1556.47600331048,0
1997,1997-07-02,0,0,post,Las Vegas Aces,Phoenix Mercury,LVA,PHO,1472.08897559817,1505.20142845315,0.567069930517226,0.432930069482774,55,77,1443.20285734139,1534.08754670994,0
1997,1997-07-02,0,0,post,Cleveland Rockers,Los Angeles Sparks,CLE,LAS,1450.88117611304,1492.43655081525,0.555101559060145,0.444898440939855,62,74,1432.22129094732,1511.09643598097,0
1997,1997-07-03,0,0,post,Houston Comets,New York Liberty,HOU,NYL,1556.47600331048,1563.54657283771,0.603439111426654,0.396560888573346,58,65,1541.38084281001,1578.64173333817,0
1997,1997-07-04,0,0,post,Las Vegas Aces,New York Liberty,LVA,NYL,1443.20285734139,1578.64173333817,0.420887343650003,0.579112656349997,53,66,1429.37636263627,1592.46822804329,0
1997,1997-07-04,0,0,post,Charlotte Sting,Los Angeles Sparks,CHA,LAS,1478.43122890189,1511.09643598097,0.5677018781476,0.4322981218524,78,66,1492.00220455746,1497.52546032539,0
1997,1997-07-05,0,0,post,Sacramento Monarchs,Cleveland Rockers,SAC,CLE,1480.93806397032,1432.22129094732,0.677204283037622,0.322795716962378,70,67,1485.51927698449,1427.64007793315,0
1997,1997-07-06,0,0,post,Houston Comets,Charlotte Sting,HOU,CHA,1541.38084281001,1492.00220455746,0.678036581484416,0.321963418515584,74,56,1553.82327408722,1479.55977328026,0
1997,1997-07-06,0,0,post,Las Vegas Aces,Sacramento Monarchs,LVA,SAC,1429.37636263627,1485.51927698449,0.534279246936424,0.465720753063576,69,79,1413.54972440787,1501.34591521289,0
1997,1997-07-06,0,0,post,Phoenix Mercury,New York Liberty,PHO,NYL,1534.08754670994,1592.46822804329,0.531072606516939,0.468927393483061,69,50,1554.49051770847,1572.06525704476,0
1997,1997-07-06,0,0,post,Los Angeles Sparks,Cleveland Rockers,LAS,CLE,1497.52546032539,1427.64007793315,0.703247329604062,0.296752670395938,70,81,1472.88894011173,1452.27659814681,0
1997,1997-07-08,0,0,post,Phoenix Mercury,Houston Comets,PHO,HOU,1554.49051770847,1553.82327408722,0.614047499956747,0.385952500043253,69,64,1561.63454595148,1546.67924584421,0
1997,1997-07-08,0,0,post,Charlotte Sting,New York Liberty,CHA,NYL,1479.55977328026,1572.06525704476,0.482010930066585,0.517989069933415,87,69,1501.87285363593,1549.75217668908,0
1997,1997-07-09,0,0,post,Cleveland Rockers,Sacramento Monarchs,CLE,SAC,1452.27659814681,1501.34591521289,0.544395606019165,0.455604393980835,77,61,1469.77796373403,1483.84454962567,0
1997,1997-07-09,0,0,post,New York Liberty,Charlotte Sting,NYL,CHA,1549.75217668908,1501.87285363593,0.676149574784202,0.323850425215798,62,48,1560.33250652186,1491.29252380315,0
1997,1997-07-10,0,0,post,Los Angeles Sparks,Las Vegas Aces,LAS,LVA,1472.88894011173,1413.54972440787,0.690423726431997,0.309576273568003,75,68,1479.44988145198,1406.98878306762,0
1997,1997-07-11,0,0,post,Las Vegas Aces,Phoenix Mercury,LVA,PHO,1406.98878306762,1561.63454595148,0.394199033239589,0.605800966760411,52,51,1414.28026759919,1554.3430614199,0
1997,1997-07-11,0,0,post,Charlotte Sting,Cleveland Rockers,CHA,CLE,1491.29252380315,1469.77796373403,0.642071122969071,0.357928877030929,72,43,1511.06689911604,1450.00358842114,0
1997,1997-07-11,0,0,post,Houston Comets,Sacramento Monarchs,HOU,SAC,1546.67924584421,1483.84454962567,0.694707933819089,0.305292066180911,89,61,1562.63480679959,1467.8889886703,0
1997,1997-07-12,0,0,post,Los Angeles Sparks,Phoenix Mercury,LAS,PHO,1479.44988145198,1554.3430614199,0.507348775574484,0.492651224425516,56,57,1473.68448332189,1560.10845954999,0
1997,1997-07-13,0,0,post,Houston Comets,Las Vegas Aces,HOU,LVA,1562.63480679959,1414.28026759919,0.788267596958716,0.211732403041284,79,56,1571.69201157266,1405.22306282612,0
1997,1997-07-13,0,0,post,Cleveland Rockers,New York Liberty,CLE,NYL,1450.00358842114,1560.33250652186,0.456463706970483,0.543536293029517,57,68,1436.26336142419,1574.07273351881,0
1997,1997-07-14,0,0,post,Sacramento Monarchs,Los Angeles Sparks,SAC,LAS,1467.8889886703,1473.68448332189,0.605194216676471,0.394805783323529,78,73,1475.23255826844,1466.34091372375,0
1997,1997-07-14,0,0,post,New York Liberty,Cleveland Rockers,NYL,CLE,1574.07273351881,1436.26336142419,0.777958958403208,0.222041041596792,76,59,1581.82795806641,1428.50813687659,0
1997,1997-07-15,0,0,post,Phoenix Mercury,Sacramento Monarchs,PHO,SAC,1560.10845954999,1475.23255826844,0.720934543334689,0.279065456665311,84,67,1570.22002761944,1465.12099019899,0
1997,1997-07-15,0,0,post,Charlotte Sting,Las Vegas Aces,CHA,LVA,1511.06689911604,1405.22306282612,0.744559472448364,0.255440527551636,75,63,1518.31229937809,1397.97766256406,0
1997,1997-07-15,0,0,post,Los Angeles Sparks,Houston Comets,LAS,HOU,1466.34091372375,1571.69201157266,0.46358144639251,0.53641855360749,77,52,1495.73266063448,1542.30026466193,0
1997,1997-07-16,0,0,post,Cleveland Rockers,Charlotte Sting,CLE,CHA,1428.50813687659,1518.31229937809,0.48589441983948,0.51410558016052,65,47,1450.60569399454,1496.21474226014,0
1997,1997-07-16,0,0,post,New York Liberty,Las Vegas Aces,NYL,LVA,1581.82795806641,1397.97766256406,0.820368248552909,0.179631751447091,80,54,1590.01685403151,1389.78876659896,0
1997,1997-07-17,0,0,post,Sacramento Monarchs,Houston Comets,SAC,HOU,1465.12099019899,1542.30026466193,0.504059261172123,0.495940738827877,60,82,1440.35181749728,1567.06943736364,0
1997,1997-07-18,0,0,post,Cleveland Rockers,Las Vegas Aces,CLE,LVA,1450.60569399454,1389.78876659896,0.692238921315942,0.307761078684058,95,68,1466.29658163252,1374.09787896098,0
